id,Municipality,ref: ISTAT,year,Waste type,Quantity,category
4856,22136,4022136,2021,Other Separate Collection (t),"7,970",10
4857,22137,4022137,2021,Other Separate Collection (t),"7,111",10
4858,22138,4022138,2021,Other Separate Collection (t),"9,907",10
4859,22139,4022139,2021,Other Separate Collection (t),"107,155",10
4860,,4022234,2021,Other Separate Collection (t),"33,740",10
4861,22142,4022142,2021,Other Separate Collection (t),"3,049",10
4862,22143,4022143,2021,Other Separate Collection (t),"159,620",10
4863,22144,4022144,2021,Other Separate Collection (t),"22,969",10
4864,,4022244,2021,Other Separate Collection (t),"42,583",10
4865,22230,4022230,2021,Other Separate Collection (t),"25,166",10
4866,22147,4022147,2021,Other Separate Collection (t),"268,435",10
4867,,4022245,2021,Other Separate Collection (t),"49,999",10
4868,22150,4022150,2021,Other Separate Collection (t),"4,403",10
4869,22153,4022153,2021,Other Separate Collection (t),"104,416",10
4870,22155,4022155,2021,Other Separate Collection (t),"5,326",10
4871,22156,4022156,2021,Other Separate Collection (t),"11,329",10
4872,22157,4022157,2021,Other Separate Collection (t),"1,829",10
4873,22159,4022159,2021,Other Separate Collection (t),"2,466",10
4874,,4022160,2021,Other Separate Collection (t),"8,711",10
4875,22161,4022161,2021,Other Separate Collection (t),"444,969",10
4876,,4022162,2021,Other Separate Collection (t),"1,982",10
4877,22163,4022163,2021,Other Separate Collection (t),"3,073",10
4878,22164,4022164,2021,Other Separate Collection (t),"1,322",10
4879,22165,4022165,2021,Other Separate Collection (t),"2,104",10
4880,22231,4022231,2021,Other Separate Collection (t),"45,128",10
4881,,4022167,2021,Other Separate Collection (t),"21,067",10
4882,,4022168,2021,Other Separate Collection (t),"5,512",10
4883,22169,4022169,2021,Other Separate Collection (t),"3,141",10
4884,22170,4022170,2021,Other Separate Collection (t),"3,237",10
4885,22171,4022171,2021,Other Separate Collection (t),"5,221",10
4886,22172,4022172,2021,Other Separate Collection (t),"7,940",10
4887,22246,4022246,2021,Other Separate Collection (t),"73,735",10
4888,,4022250,2021,Other Separate Collection (t),"32,530",10
4889,22173,4022173,2021,Other Separate Collection (t),"1,632",10
4890,,4022176,2021,Other Separate Collection (t),"4,755",10
4891,22177,4022177,2021,Other Separate Collection (t),"4,353",10
4892,22179,4022179,2021,Other Separate Collection (t),"40,148",10
4893,22180,4022180,2021,Other Separate Collection (t),"7,080",10
4894,22181,4022181,2021,Other Separate Collection (t),"2,402",10
4895,22182,4022182,2021,Other Separate Collection (t),"33,297",10
4896,22183,4022183,2021,Other Separate Collection (t),"107,153",10
4897,22184,4022184,2021,Other Separate Collection (t),"14,932",10
4898,22188,4022188,2021,Other Separate Collection (t),"7,311",10
4899,22189,4022189,2021,Other Separate Collection (t),"2,243",10
4900,22190,4022190,2021,Other Separate Collection (t),"5,659",10
4901,22191,4022191,2021,Other Separate Collection (t),"11,349",10
4902,,4022251,2021,Other Separate Collection (t),"16,182",10
4903,22195,4022195,2021,Other Separate Collection (t),"1,836",10
4904,22196,4022196,2021,Other Separate Collection (t),"167,002",10
4905,22199,4022199,2021,Other Separate Collection (t),"87,032",10
4906,22200,4022200,2021,Other Separate Collection (t),"4,491",10
4907,22202,4022202,2021,Other Separate Collection (t),"2,642",10
4908,22247,4022247,2021,Other Separate Collection (t),"45,389",10
4909,22205,4022205,2021,Other Separate Collection (t),"1.650,727",10
4910,22232,4022232,2021,Other Separate Collection (t),"28,903",10
4911,22209,4022209,2021,Other Separate Collection (t),"22,793",10
4912,22248,4022248,2021,Other Separate Collection (t),"27,885",10
4913,22213,4022213,2021,Other Separate Collection (t),"7,695",10
4914,,4022216,2021,Other Separate Collection (t),"1,092",10
4915,,4022249,2021,Other Separate Collection (t),"16,132",10
4916,22222,4022222,2021,Other Separate Collection (t),"3,732",10
4917,22254,4022254,2021,Other Separate Collection (t),"172,265",10
4918,22224,4022224,2021,Other Separate Collection (t),"15,773",10
4919,22226,4022226,2021,Other Separate Collection (t),"105,001",10
4920,22001,4022001,2022,Other Separate Collection (t),"11,680",10
4921,22002,4022002,2022,Other Separate Collection (t),"6,807",10
4922,22003,4022003,2022,Other Separate Collection (t),"14,796",10
4923,22235,4022235,2022,Other Separate Collection (t),"7,945",10
4924,,4022236,2022,Other Separate Collection (t),"21,103",10
4925,22237,4022237,2022,Other Separate Collection (t),"1,701",10
4926,22005,4022005,2022,Other Separate Collection (t),"20,498",10
4927,22006,4022006,2022,Other Separate Collection (t),"86,966",10
4928,22007,4022007,2022,Other Separate Collection (t),"7,700",10
4929,,4022009,2022,Other Separate Collection (t),"21,599",10
4930,22011,4022011,2022,Other Separate Collection (t),"6,318",10
4931,22013,4022013,2022,Other Separate Collection (t),"2,660",10
4932,22015,4022015,2022,Other Separate Collection (t),"1,638",10
4933,22017,4022017,2022,Other Separate Collection (t),"41,563",10
4934,22018,4022018,2022,Other Separate Collection (t),"10,983",10
4935,22021,4022021,2022,Other Separate Collection (t),"18,808",10
4936,22238,4022238,2022,Other Separate Collection (t),"52,876",10
4937,,4022252,2022,Other Separate Collection (t),"8,521",10
4938,22239,4022239,2022,Other Separate Collection (t),"19,592",10
4939,22022,4022022,2022,Other Separate Collection (t),"24,802",10
4940,22025,4022025,2022,Other Separate Collection (t),"4,560",10
4941,22026,4022026,2022,Other Separate Collection (t),"0,780",10
4942,22029,4022029,2022,Other Separate Collection (t),"20,536",10
4943,22032,4022032,2022,Other Separate Collection (t),"8,431",10
4944,22033,4022033,2022,Other Separate Collection (t),"2,842",10
4945,22034,4022034,2022,Other Separate Collection (t),"17,073",10
4946,22035,4022035,2022,Other Separate Collection (t),"0,500",10
4947,22036,4022036,2022,Other Separate Collection (t),"10,027",10
4948,22037,4022037,2022,Other Separate Collection (t),"4,683",10
4949,22038,4022038,2022,Other Separate Collection (t),"12,092",10
4950,22039,4022039,2022,Other Separate Collection (t),"15,832",10
4951,22040,4022040,2022,Other Separate Collection (t),"21,145",10
4952,22042,4022042,2022,Other Separate Collection (t),"30,201",10
4953,22043,4022043,2022,Other Separate Collection (t),"1,790",10
4954,22045,4022045,2022,Other Separate Collection (t),"6,126",10
4955,22240,4022240,2022,Other Separate Collection (t),"11,474",10
4956,22048,4022048,2022,Other Separate Collection (t),"4,379",10
4957,22047,4022047,2022,Other Separate Collection (t),"88,991",10
4958,22049,4022049,2022,Other Separate Collection (t),"3,818",10
4959,22050,4022050,2022,Other Separate Collection (t),"170,542",10
4960,22051,4022051,2022,Other Separate Collection (t),"3,644",10
4961,22052,4022052,2022,Other Separate Collection (t),"3,198",10
4962,22053,4022053,2022,Other Separate Collection (t),"14,604",10
4963,22054,4022054,2022,Other Separate Collection (t),"0,926",10
4964,22241,4022241,2022,Other Separate Collection (t),"10,737",10
4965,22058,4022058,2022,Other Separate Collection (t),"3,335",10
4966,22059,4022059,2022,Other Separate Collection (t),"1,292",10
4967,22060,4022060,2022,Other Separate Collection (t),"0,941",10
4968,22061,4022061,2022,Other Separate Collection (t),"16,764",10
4969,22062,4022062,2022,Other Separate Collection (t),"22,486",10
4970,22228,4022228,2022,Other Separate Collection (t),"85,743",10
4971,22064,4022064,2022,Other Separate Collection (t),"5,730",10
4972,,4022242,2022,Other Separate Collection (t),"4,430",10
4973,22068,4022068,2022,Other Separate Collection (t),"2,437",10
4974,22071,4022071,2022,Other Separate Collection (t),"1,317",10
4975,22074,4022074,2022,Other Separate Collection (t),"3,896",10
4976,22233,4022233,2022,Other Separate Collection (t),"12,880",10
4977,22078,4022078,2022,Other Separate Collection (t),"2,245",10
4978,22079,4022079,2022,Other Separate Collection (t),"16,308",10
4979,22081,4022081,2022,Other Separate Collection (t),"6,080",10
4980,,4022083,2022,Other Separate Collection (t),"28,793",10
4981,,4022085,2022,Other Separate Collection (t),"1,922",10
4982,22087,4022087,2022,Other Separate Collection (t),"4,444",10
4983,22089,4022089,2022,Other Separate Collection (t),"5,409",10
4984,,4022090,2022,Other Separate Collection (t),"1,404",10
4985,22091,4022091,2022,Other Separate Collection (t),"1,806",10
4986,22092,4022092,2022,Other Separate Collection (t),"11,755",10
4987,22093,4022093,2022,Other Separate Collection (t),"24,341",10
4988,22095,4022095,2022,Other Separate Collection (t),"7,110",10
4989,22097,4022097,2022,Other Separate Collection (t),"9,709",10
4990,22098,4022098,2022,Other Separate Collection (t),"7,285",10
4991,22102,4022102,2022,Other Separate Collection (t),"6,520",10
4992,22103,4022103,2022,Other Separate Collection (t),"47,557",10
4993,22229,4022229,2022,Other Separate Collection (t),"27,700",10
4994,22104,4022104,2022,Other Separate Collection (t),"39,327",10
4995,22106,4022106,2022,Other Separate Collection (t),"2,341",10
4996,22108,4022108,2022,Other Separate Collection (t),"3,960",10
4997,22243,4022243,2022,Other Separate Collection (t),"13,605",10
4998,,4022110,2022,Other Separate Collection (t),"7,161",10
4999,22112,4022112,2022,Other Separate Collection (t),"3,859",10
5000,22113,4022113,2022,Other Separate Collection (t),"3,606",10
5001,22114,4022114,2022,Other Separate Collection (t),"7,141",10
5002,22115,4022115,2022,Other Separate Collection (t),"12,980",10
5003,22116,4022116,2022,Other Separate Collection (t),"28,810",10
5004,22117,4022117,2022,Other Separate Collection (t),"39,789",10
5005,22118,4022118,2022,Other Separate Collection (t),"17,110",10
5006,22120,4022120,2022,Other Separate Collection (t),"13,999",10
5007,22123,4022123,2022,Other Separate Collection (t),"2,776",10
5008,22124,4022124,2022,Other Separate Collection (t),"18,272",10
5009,22127,4022127,2022,Other Separate Collection (t),"1,560",10
5010,22128,4022128,2022,Other Separate Collection (t),"0,720",10
5011,22129,4022129,2022,Other Separate Collection (t),"3,884",10
5012,22253,4022253,2022,Other Separate Collection (t),"11,279",10
5013,22130,4022130,2022,Other Separate Collection (t),"2,776",10
5014,22131,4022131,2022,Other Separate Collection (t),"3,325",10
5015,,4022133,2022,Other Separate Collection (t),"0,669",10
5016,,4022134,2022,Other Separate Collection (t),"32,652",10
5017,22136,4022136,2022,Other Separate Collection (t),"10,175",10
5018,22137,4022137,2022,Other Separate Collection (t),"9,406",10
5019,22138,4022138,2022,Other Separate Collection (t),"11,118",10
5020,22139,4022139,2022,Other Separate Collection (t),"88,830",10
5021,,4022234,2022,Other Separate Collection (t),"39,344",10
5022,22142,4022142,2022,Other Separate Collection (t),"2,776",10
5023,22143,4022143,2022,Other Separate Collection (t),"153,304",10
5024,22144,4022144,2022,Other Separate Collection (t),"22,976",10
5025,,4022244,2022,Other Separate Collection (t),"50,097",10
5026,22230,4022230,2022,Other Separate Collection (t),"21,867",10
5027,22147,4022147,2022,Other Separate Collection (t),"188,925",10
5028,,4022245,2022,Other Separate Collection (t),"55,462",10
5029,22150,4022150,2022,Other Separate Collection (t),"5,211",10
5030,22153,4022153,2022,Other Separate Collection (t),"81,092",10
5031,22155,4022155,2022,Other Separate Collection (t),"4,624",10
5032,22156,4022156,2022,Other Separate Collection (t),"10,579",10
5033,22157,4022157,2022,Other Separate Collection (t),"1,582",10
5034,22159,4022159,2022,Other Separate Collection (t),"1,676",10
5035,,4022160,2022,Other Separate Collection (t),"8,735",10
5036,22161,4022161,2022,Other Separate Collection (t),"460,424",10
5037,,4022162,2022,Other Separate Collection (t),"1,388",10
5038,22163,4022163,2022,Other Separate Collection (t),"2,622",10
5039,22164,4022164,2022,Other Separate Collection (t),"1,552",10
5040,22165,4022165,2022,Other Separate Collection (t),"1,902",10
5041,22231,4022231,2022,Other Separate Collection (t),"47,611",10
5042,,4022167,2022,Other Separate Collection (t),"18,822",10
5043,,4022168,2022,Other Separate Collection (t),"4,566",10
5044,22169,4022169,2022,Other Separate Collection (t),"2,887",10
5045,22170,4022170,2022,Other Separate Collection (t),"2,781",10
5046,22171,4022171,2022,Other Separate Collection (t),"4,730",10
5047,22172,4022172,2022,Other Separate Collection (t),"6,656",10
5048,22246,4022246,2022,Other Separate Collection (t),"80,920",10
5049,,4022250,2022,Other Separate Collection (t),"31,472",10
5050,22173,4022173,2022,Other Separate Collection (t),"1,216",10
5051,,4022176,2022,Other Separate Collection (t),"3,837",10
5052,22177,4022177,2022,Other Separate Collection (t),"3,690",10
5053,22179,4022179,2022,Other Separate Collection (t),"35,516",10
5054,22180,4022180,2022,Other Separate Collection (t),"6,509",10
5055,22181,4022181,2022,Other Separate Collection (t),"2,231",10
5056,22182,4022182,2022,Other Separate Collection (t),"34,946",10
5057,22183,4022183,2022,Other Separate Collection (t),"121,889",10
5058,22184,4022184,2022,Other Separate Collection (t),"16,596",10
5059,22188,4022188,2022,Other Separate Collection (t),"6,744",10
5060,22189,4022189,2022,Other Separate Collection (t),"2,146",10
5061,22190,4022190,2022,Other Separate Collection (t),"4,396",10
5062,22191,4022191,2022,Other Separate Collection (t),"8,351",10
5063,,4022251,2022,Other Separate Collection (t),"14,171",10
5064,22195,4022195,2022,Other Separate Collection (t),"2,124",10
5065,22196,4022196,2022,Other Separate Collection (t),"129,940",10
5066,22199,4022199,2022,Other Separate Collection (t),"99,811",10
5067,22200,4022200,2022,Other Separate Collection (t),"4,017",10
5068,22202,4022202,2022,Other Separate Collection (t),"2,484",10
5069,22247,4022247,2022,Other Separate Collection (t),"46,697",10
5070,22205,4022205,2022,Other Separate Collection (t),"1.578,985",10
5071,22232,4022232,2022,Other Separate Collection (t),"31,950",10
5072,22209,4022209,2022,Other Separate Collection (t),"16,980",10
5073,22248,4022248,2022,Other Separate Collection (t),"23,999",10
5074,22213,4022213,2022,Other Separate Collection (t),"11,798",10
5075,,4022216,2022,Other Separate Collection (t),"0,873",10
5076,,4022249,2022,Other Separate Collection (t),"14,790",10
5077,22222,4022222,2022,Other Separate Collection (t),"5,247",10
5078,22254,4022254,2022,Other Separate Collection (t),"107,383",10
5079,22224,4022224,2022,Other Separate Collection (t),"14,205",10
5080,22226,4022226,2022,Other Separate Collection (t),"68,588",10
5081,22001,4022001,2014,Wood (t),"22,817",8
5082,22002,4022002,2014,Wood (t),"25,357",8
5083,22003,4022003,2014,Wood (t),"64,820",8
5084,,4022004,2014,Wood (t),"8,925",8
5085,22005,4022005,2014,Wood (t),"89,740",8
5086,22006,4022006,2014,Wood (t),"296,708",8
5087,22007,4022007,2014,Wood (t),"93,460",8
5088,,4022009,2014,Wood (t),"126,500",8
5089,22011,4022011,2014,Wood (t),"42,736",8
5090,,4022012,2014,Wood (t),"1,970",8
5091,22013,4022013,2014,Wood (t),"44,370",8
5092,22015,4022015,2014,Wood (t),"4,474",8
5093,22017,4022017,2014,Wood (t),"31,135",8
5094,22018,4022018,2014,Wood (t),"6,863",8
5095,,4022019,2014,Wood (t),"6,654",8
5096,,4022020,2014,Wood (t),"6,547",8
5097,22021,4022021,2014,Wood (t),"6,415",8
5098,22022,4022022,2014,Wood (t),"115,664",8
5099,,4022023,2014,Wood (t),"14,719",8
5100,,4022024,2014,Wood (t),"5,778",8
5101,22025,4022025,2014,Wood (t),"110,177",8
5102,22026,4022026,2014,Wood (t),"7,933",8
5103,,4022027,2014,Wood (t),"23,861",8
5104,,4022028,2014,Wood (t),"0,655",8
5105,22029,4022029,2014,Wood (t),"8,251",8
5106,,4022030,2014,Wood (t),"10,698",8
5107,,4022031,2014,Wood (t),"27,583",8
5108,22032,4022032,2014,Wood (t),"41,503",8
5109,22033,4022033,2014,Wood (t),"12,004",8
5110,22034,4022034,2014,Wood (t),"79,847",8
5111,22035,4022035,2014,Wood (t),"6,921",8
5112,22036,4022036,2014,Wood (t),"51,850",8
5113,22037,4022037,2014,Wood (t),"45,437",8
5114,22038,4022038,2014,Wood (t),"77,175",8
5115,22039,4022039,2014,Wood (t),"101,610",8
5116,22040,4022040,2014,Wood (t),"8,975",8
5117,,4022041,2014,Wood (t),"27,010",8
5118,22042,4022042,2014,Wood (t),"19,014",8
5119,22043,4022043,2014,Wood (t),"20,769",8
5120,22045,4022045,2014,Wood (t),"1,875",8
5121,,4022046,2014,Wood (t),"21,366",8
5122,22048,4022048,2014,Wood (t),"34,471",8
5123,22047,4022047,2014,Wood (t),"36,971",8
5124,22049,4022049,2014,Wood (t),"23,299",8
5125,22050,4022050,2014,Wood (t),"76,364",8
5126,22051,4022051,2014,Wood (t),"40,869",8
5127,22052,4022052,2014,Wood (t),"28,030",8
5128,22053,4022053,2014,Wood (t),"48,510",8
5129,22054,4022054,2014,Wood (t),"2,546",8
5130,,4022055,2014,Wood (t),"34,095",8
5131,,4022056,2014,Wood (t),"11,484",8
5132,,4022057,2014,Wood (t),"3,762",8
5133,22058,4022058,2014,Wood (t),"10,919",8
5134,22059,4022059,2014,Wood (t),"9,383",8
5135,22060,4022060,2014,Wood (t),"9,616",8
5136,22061,4022061,2014,Wood (t),"59,829",8
5137,22062,4022062,2014,Wood (t),"211,109",8
5138,,4022063,2014,Wood (t),"22,388",8
5139,22228,4022228,2014,Wood (t),"42,683",8
5140,22064,4022064,2014,Wood (t),"32,913",8
5141,,4022066,2014,Wood (t),"29,847",8
5142,,4022067,2014,Wood (t),"62,897",8
5143,22068,4022068,2014,Wood (t),"15,300",8
5144,,4022069,2014,Wood (t),"18,782",8
5145,,4022070,2014,Wood (t),"11,943",8
5146,22071,4022071,2014,Wood (t),"13,162",8
5147,,4022072,2014,Wood (t),"4,281",8
5148,,4022073,2014,Wood (t),"4,788",8
5149,22074,4022074,2014,Wood (t),"39,157",8
5150,,4022075,2014,Wood (t),"37,347",8
5151,,4022076,2014,Wood (t),"10,398",8
5152,,4022077,2014,Wood (t),"4,241",8
5153,22078,4022078,2014,Wood (t),"3,496",8
5154,22079,4022079,2014,Wood (t),"85,624",8
5155,,4022080,2014,Wood (t),"0,430",8
5156,22081,4022081,2014,Wood (t),"41,460",8
5157,,4022082,2014,Wood (t),"16,200",8
5158,,4022083,2014,Wood (t),"10,779",8
5159,,4022084,2014,Wood (t),"29,176",8
5160,,4022085,2014,Wood (t),"6,143",8
5161,,4022086,2014,Wood (t),"17,009",8
5162,22087,4022087,2014,Wood (t),"139,825",8
5163,,4022088,2014,Wood (t),"51,928",8
5164,22089,4022089,2014,Wood (t),"16,120",8
5165,,4022090,2014,Wood (t),"4,349",8
5166,22091,4022091,2014,Wood (t),"6,581",8
5167,22092,4022092,2014,Wood (t),"30,960",8
5168,22093,4022093,2014,Wood (t),"23,168",8
5169,,4022094,2014,Wood (t),"2,480",8
5170,22095,4022095,2014,Wood (t),"29,150",8
5171,,4022096,2014,Wood (t),"3,860",8
5172,22097,4022097,2014,Wood (t),"55,794",8
5173,22098,4022098,2014,Wood (t),"42,596",8
5174,,4022099,2014,Wood (t),"5,542",8
5175,,4022100,2014,Wood (t),"2,190",8
5176,,4022101,2014,Wood (t),"26,882",8
5177,22102,4022102,2014,Wood (t),"85,868",8
5178,22103,4022103,2014,Wood (t),"358,980",8
5179,22229,4022229,2014,Wood (t),"155,460",8
5180,22104,4022104,2014,Wood (t),"113,575",8
5181,,4022105,2014,Wood (t),"10,155",8
5182,22106,4022106,2014,Wood (t),"26,445",8
5183,22108,4022108,2014,Wood (t),"14,893",8
5184,,4022109,2014,Wood (t),"10,548",8
5185,,4022110,2014,Wood (t),"37,660",8
5186,,4022111,2014,Wood (t),"20,405",8
5187,22112,4022112,2014,Wood (t),"2,106",8
5188,22113,4022113,2014,Wood (t),"36,558",8
5189,22114,4022114,2014,Wood (t),"37,740",8
5190,22115,4022115,2014,Wood (t),"78,389",8
5191,22116,4022116,2014,Wood (t),"188,293",8
5192,22117,4022117,2014,Wood (t),"138,950",8
5193,22118,4022118,2014,Wood (t),"186,830",8
5194,22120,4022120,2014,Wood (t),"57,620",8
5195,,4022121,2014,Wood (t),"27,920",8
5196,,4022122,2014,Wood (t),"2,715",8
5197,22123,4022123,2014,Wood (t),"200,795",8
5198,22124,4022124,2014,Wood (t),"73,730",8
5199,,4022125,2014,Wood (t),"18,421",8
5200,,4022126,2014,Wood (t),"25,940",8
5201,22127,4022127,2014,Wood (t),"28,367",8
5202,22128,4022128,2014,Wood (t),"14,290",8
5203,22129,4022129,2014,Wood (t),"13,333",8
5204,22130,4022130,2014,Wood (t),"10,833",8
5205,22131,4022131,2014,Wood (t),"27,980",8
5206,,4022132,2014,Wood (t),"14,467",8
5207,,4022133,2014,Wood (t),"2,690",8
5208,,4022134,2014,Wood (t),"13,270",8
5209,22136,4022136,2014,Wood (t),"49,340",8
5210,22137,4022137,2014,Wood (t),"23,820",8
5211,22138,4022138,2014,Wood (t),"3,127",8
5212,22139,4022139,2014,Wood (t),"408,762",8
5213,,4022140,2014,Wood (t),"29,214",8
5214,22142,4022142,2014,Wood (t),"19,577",8
5215,22143,4022143,2014,Wood (t),"285,359",8
5216,22144,4022144,2014,Wood (t),"39,770",8
5217,,4022145,2014,Wood (t),"66,654",8
5218,,4022146,2014,Wood (t),"2,452",8
5219,22147,4022147,2014,Wood (t),"81,326",8
5220,,4022148,2014,Wood (t),"2,571",8
5221,,4022149,2014,Wood (t),"1,529",8
5222,22150,4022150,2014,Wood (t),"11,760",8
5223,,4022151,2014,Wood (t),"70,775",8
5224,,4022152,2014,Wood (t),"37,684",8
5225,22153,4022153,2014,Wood (t),"332,524",8
5226,,4022154,2014,Wood (t),"18,511",8
5227,22155,4022155,2014,Wood (t),"48,713",8
5228,22156,4022156,2014,Wood (t),"38,826",8
5229,22157,4022157,2014,Wood (t),"19,355",8
5230,,4022158,2014,Wood (t),"15,451",8
5231,22135,4022135,2014,Wood (t),"3,490",8
5232,22159,4022159,2014,Wood (t),"24,822",8
5233,,4022160,2014,Wood (t),"34,360",8
5234,22161,4022161,2014,Wood (t),"674,868",8
5235,,4022162,2014,Wood (t),"18,722",8
5236,22163,4022163,2014,Wood (t),"28,428",8
5237,22164,4022164,2014,Wood (t),"9,750",8
5238,22165,4022165,2014,Wood (t),"7,101",8
5239,,4022166,2014,Wood (t),"12,171",8
5240,,4022167,2014,Wood (t),"130,427",8
5241,,4022168,2014,Wood (t),"10,028",8
5242,22169,4022169,2014,Wood (t),"29,059",8
5243,22170,4022170,2014,Wood (t),"29,420",8
5244,22171,4022171,2014,Wood (t),"56,334",8
5245,22172,4022172,2014,Wood (t),"23,085",8
5246,22173,4022173,2014,Wood (t),"14,394",8
5247,,4022174,2014,Wood (t),"122,794",8
5248,,4022175,2014,Wood (t),"19,473",8
5249,,4022176,2014,Wood (t),"23,820",8
5250,22177,4022177,2014,Wood (t),"13,045",8
5251,,4022178,2014,Wood (t),"13,832",8
5252,22179,4022179,2014,Wood (t),"36,133",8
5253,22180,4022180,2014,Wood (t),"51,990",8
5254,22181,4022181,2014,Wood (t),"21,577",8
5255,22182,4022182,2014,Wood (t),"31,114",8
5256,22183,4022183,2014,Wood (t),"54,573",8
5257,22184,4022184,2014,Wood (t),"5,814",8
5258,,4022185,2014,Wood (t),"15,895",8
5259,,4022186,2014,Wood (t),"92,828",8
5260,,4022187,2014,Wood (t),"57,247",8
5261,22188,4022188,2014,Wood (t),"40,203",8
5262,22189,4022189,2014,Wood (t),"9,437",8
5263,22190,4022190,2014,Wood (t),"10,000",8
5264,22191,4022191,2014,Wood (t),"28,398",8
5265,,4022192,2014,Wood (t),"31,531",8
5266,22193,4022193,2014,Wood (t),"0,775",8
5267,,4022194,2014,Wood (t),"9,977",8
5268,22195,4022195,2014,Wood (t),"8,950",8
5269,22196,4022196,2014,Wood (t),"49,398",8
5270,22199,4022199,2014,Wood (t),"112,044",8
5271,22200,4022200,2014,Wood (t),"40,689",8
5272,,4022201,2014,Wood (t),"93,686",8
5273,22202,4022202,2014,Wood (t),"10,487",8
5274,22203,4022203,2014,Wood (t),"1,919",8
5275,,4022204,2014,Wood (t),"122,496",8
5276,22205,4022205,2014,Wood (t),"2.269,243",8
5277,,4022206,2014,Wood (t),"25,033",8
5278,,4022207,2014,Wood (t),"73,805",8
5279,,4022208,2014,Wood (t),"1,780",8
5280,22209,4022209,2014,Wood (t),"7,605",8
5281,22210,4022210,2014,Wood (t),"2,710",8
5282,,4022211,2014,Wood (t),"16,027",8
5283,,4022212,2014,Wood (t),"21,196",8
5284,22213,4022213,2014,Wood (t),"37,420",8
5285,,4022214,2014,Wood (t),"24,041",8
5286,,4022215,2014,Wood (t),"33,479",8
5287,,4022216,2014,Wood (t),"3,241",8
5288,,4022217,2014,Wood (t),"44,436",8
5289,,4022220,2014,Wood (t),"6,465",8
5290,,4022219,2014,Wood (t),"44,348",8
5291,,4022221,2014,Wood (t),"15,865",8
5292,22222,4022222,2014,Wood (t),"65,885",8
5293,,4022223,2014,Wood (t),"7,247",8
5294,22224,4022224,2014,Wood (t),"76,854",8
5295,,4022225,2014,Wood (t),"18,950",8
5296,22226,4022226,2014,Wood (t),"31,271",8
5297,,4022227,2014,Wood (t),"7,564",8
5298,22001,4022001,2015,Wood (t),"8,006",8
5299,22002,4022002,2015,Wood (t),"25,011",8
5300,22003,4022003,2015,Wood (t),"71,940",8
5301,,4022004,2015,Wood (t),"9,184",8
5302,22005,4022005,2015,Wood (t),"94,065",8
5303,22006,4022006,2015,Wood (t),"336,826",8
5304,22007,4022007,2015,Wood (t),"71,807",8
5305,,4022009,2015,Wood (t),"107,299",8
5306,22011,4022011,2015,Wood (t),"35,004",8
5307,22013,4022013,2015,Wood (t),"56,180",8
5308,22015,4022015,2015,Wood (t),"5,027",8
5309,22017,4022017,2015,Wood (t),"33,931",8
5310,22018,4022018,2015,Wood (t),"9,912",8
5311,,4022019,2015,Wood (t),"6,741",8
5312,,4022020,2015,Wood (t),"14,089",8
5313,22021,4022021,2015,Wood (t),"13,538",8
5314,22022,4022022,2015,Wood (t),"76,711",8
5315,,4022023,2015,Wood (t),"13,796",8
5316,,4022024,2015,Wood (t),"13,500",8
5317,22025,4022025,2015,Wood (t),"107,687",8
5318,22026,4022026,2015,Wood (t),"8,067",8
5319,,4022027,2015,Wood (t),"24,914",8
5320,,4022028,2015,Wood (t),"2,411",8
5321,22029,4022029,2015,Wood (t),"20,886",8
5322,,4022030,2015,Wood (t),"10,921",8
5323,,4022031,2015,Wood (t),"20,180",8
5324,22032,4022032,2015,Wood (t),"43,459",8
5325,22033,4022033,2015,Wood (t),"9,977",8
5326,22034,4022034,2015,Wood (t),"82,636",8
5327,22035,4022035,2015,Wood (t),"6,877",8
5328,22036,4022036,2015,Wood (t),"52,670",8
5329,22037,4022037,2015,Wood (t),"46,943",8
5330,22038,4022038,2015,Wood (t),"72,438",8
5331,22039,4022039,2015,Wood (t),"71,700",8
5332,22040,4022040,2015,Wood (t),"8,326",8
5333,,4022041,2015,Wood (t),"25,999",8
5334,22042,4022042,2015,Wood (t),"39,551",8
5335,22043,4022043,2015,Wood (t),"7,324",8
5336,22045,4022045,2015,Wood (t),"4,690",8
5337,,4022046,2015,Wood (t),"21,656",8
5338,22048,4022048,2015,Wood (t),"29,457",8
5339,22047,4022047,2015,Wood (t),"35,026",8
5340,22049,4022049,2015,Wood (t),"19,432",8
5341,22050,4022050,2015,Wood (t),"73,578",8
5342,22051,4022051,2015,Wood (t),"42,568",8
5343,22052,4022052,2015,Wood (t),"17,850",8
5344,22053,4022053,2015,Wood (t),"46,550",8
5345,22054,4022054,2015,Wood (t),"2,256",8
5346,,4022055,2015,Wood (t),"38,156",8
5347,,4022056,2015,Wood (t),"10,975",8
5348,,4022057,2015,Wood (t),"8,070",8
5349,22058,4022058,2015,Wood (t),"9,359",8
5350,22059,4022059,2015,Wood (t),"8,135",8
5351,22060,4022060,2015,Wood (t),"9,928",8
5352,22061,4022061,2015,Wood (t),"45,170",8
5353,22062,4022062,2015,Wood (t),"218,765",8
5354,,4022063,2015,Wood (t),"22,618",8
5355,22228,4022228,2015,Wood (t),"72,191",8
5356,22064,4022064,2015,Wood (t),"39,066",8
5357,,4022066,2015,Wood (t),"28,728",8
5358,22068,4022068,2015,Wood (t),"16,010",8
5359,,4022069,2015,Wood (t),"20,508",8
